roof_type,azimuth,pitch,panel_width,gap,season,viable_pv_area_m2,avg_daylight_hr_per_m2,estimated_daily_yield_kwh
waffle,-45,15,10,8,Summer_Solstice,14248.080000000004,0.6867416,1565.5598593231207
waffle,-45,15,10,8,Autumn_Equinox,9848.010000000002,0.70818484,1115.8738191003802
waffle,-45,15,10,8,Winter_Solstice,11219.440000000002,0.6658806,1195.3292269813542
waffle,-45,15,10,10,Spring_Equinox,8487.330000000002,0.6249724,848.6955240918162
waffle,-45,15,10,10,Summer_Solstice,13453.390000000003,0.68723416,1479.3006751979833
waffle,-45,15,10,10,Autumn_Equinox,10024.190000000002,0.70675486,1133.5432052422527
waffle,-45,15,10,10,Winter_Solstice,10750.680000000002,0.66517097,1144.1664348369602
waffle,-45,15,10,12,Spring_Equinox,4038.6300000000006,0.6447122,416.60065143470774
waffle,-45,15,10,12,Summer_Solstice,12314.990000000002,0.6877629,1355.1669494393354
waffle,-45,15,10,12,Autumn_Equinox,9442.280000000002,0.7068004,1067.8091667751316
waffle,-45,15,10,12,Winter_Solstice,9783.380000000001,0.66592765,1042.4037181144718
waffle,-45,15,10,14,Spring_Equinox,4198.860000000001,0.6464074,434.26788515682233
waffle,-45,15,10,14,Summer_Solstice,11643.690000000002,0.6877665,1281.302372721005
waffle,-45,15,10,14,Autumn_Equinox,9347.150000000001,0.70924824,1060.71195696497
waffle,-45,15,10,14,Winter_Solstice,9366.680000000002,0.66656315,998.9574010307315
waffle,-45,15,10,16,Spring_Equinox,5703.0700000000015,0.6337435,578.285389210129
waffle,-45,15,10,16,Summer_Solstice,10736.110000000002,0.6877887,1181.4680651645665
waffle,-45,15,10,16,Autumn_Equinox,8787.210000000001,0.70874643,996.4645993263247
waffle,-45,15,10,16,Winter_Solstice,8567.560000000001,0.66695815,914.2726392704012
waffle,-45,30,10,8,Spring_Equinox,867.9400000000002,0.6836663,94.94101099948885
waffle,-45,30,10,8,Summer_Solstice,5806.880000000001,0.6769724,628.9755884033206
waffle,-45,30,10,8,Autumn_Equinox,2812.5400000000004,0.69956064,314.8067661972047
waffle,-45,30,10,8,Winter_Solstice,5935.700000000001,0.65176624,618.9902198896409
waffle,-45,30,10,10,Spring_Equinox,656.1400000000001,0.6729623,70.64919819602969
waffle,-45,30,10,10,Summer_Solstice,6170.390000000001,0.67588615,667.2769866973879
waffle,-45,30,10,10,Autumn_Equinox,2932.3400000000006,0.6952368,326.187309483719
waffle,-45,30,10,10,Winter_Solstice,6121.540000000001,0.649184,635.8409205436708
waffle,-45,30,10,12,Spring_Equinox,463.24000000000007,0.68572015,50.82448004722596
waffle,-45,30,10,12,Summer_Solstice,5788.920000000001,0.67699164,627.0480725498201
waffle,-45,30,10,12,Autumn_Equinox,2900.140000000001,0.69497466,322.4838100776674
waffle,-45,30,10,12,Winter_Solstice,5660.6100000000015,0.6504514,589.1122915843965
waffle,-45,30,10,14,Spring_Equinox,831.0300000000002,0.6812259,90.57906500072482
waffle,-45,30,10,14,Summer_Solstice,5601.1500000000015,0.67579246,605.6343860950473
waffle,-45,30,10,14,Autumn_Equinox,2854.5400000000004,0.7017844,320.52344995040903
waffle,-45,30,10,14,Winter_Solstice,5358.870000000001,0.6532887,560.1422934190751
waffle,-45,30,10,16,Spring_Equinox,1010.8500000000003,0.65267116,105.56042246103289
waffle,-45,30,10,16,Summer_Solstice,5343.3600000000015,0.6806091,581.8783164916994
waffle,-45,30,10,16,Autumn_Equinox,2920.0000000000005,0.69704944,325.6614978790284
waffle,-45,30,10,16,Winter_Solstice,4963.460000000001,0.65384567,519.2538909587862
waffle,-45,45,10,8,Spring_Equinox,563.0500000000001,0.69780487,62.86384496831895
waffle,-45,45,10,8,Summer_Solstice,677.6000000000001,0.69750047,75.62021066284181
waffle,-45,45,10,8,Autumn_Equinox,868.0600000000002,0.72019315,100.02733820114139
waffle,-45,45,10,8,Winter_Solstice,923.2800000000002,0.710355,104.93704791183475
waffle,-45,45,10,10,Spring_Equinox,578.0100000000001,0.673025,62.24242995128634
waffle,-45,45,10,10,Summer_Solstice,2081.4800000000005,0.6408981,213.44265517501842
waffle,-45,45,10,10,Autumn_Equinox,1147.2500000000002,0.7080099,129.96229699850085
waffle,-45,45,10,10,Winter_Solstice,2739.5200000000004,0.6449145,282.68099081420905
waffle,-45,45,10,12,Spring_Equinox,325.2800000000001,0.6983719,36.34662519531251
waffle,-45,45,10,12,Summer_Solstice,507.4600000000001,0.69056505,56.069462415123
waffle,-45,45,10,12,Autumn_Equinox,1083.8300000000002,0.7082642,122.82207321958545
waffle,-45,45,10,12,Winter_Solstice,970.9800000000001,0.68837684,106.94402366695407
waffle,-45,45,10,14,Spring_Equinox,767.8200000000002,0.68769985,84.48475234966281
waffle,-45,45,10,14,Summer_Solstice,2146.8700000000003,0.642683,220.76110637512213
waffle,-45,45,10,14,Autumn_Equinox,1139.6800000000003,0.70323265,128.23362911682133
waffle,-45,45,10,14,Winter_Solstice,1021.2300000000002,0.70572543,115.31327717628481
waffle,-45,45,10,16,Spring_Equinox,368.4200000000001,0.6950017,40.96840547065736
waffle,-45,45,10,16,Summer_Solstice,364.9100000000001,0.7044306,41.12860207977296
waffle,-45,45,10,16,Autumn_Equinox,917.7900000000002,0.7212128,105.9075039479256
waffle,-45,45,10,16,Winter_Solstice,992.3000000000002,0.69006336,109.55997912025455
waffle,-45,15,14,8,Spring_Equinox,4384.390000000001,0.6443857,452.0381118890764
waffle,-45,15,14,8,Summer_Solstice,15341.400000000003,0.6845584,1680.3334573516852
waffle,-45,15,14,8,Autumn_Equinox,10124.340000000002,0.7046111,1141.3956116907125
waffle,-45,15,14,8,Winter_Solstice,12157.590000000002,0.66304684,1289.7682549209599
waffle,-45,15,14,10,Spring_Equinox,4891.810000000001,0.6509024,509.45453164386765
waffle,-45,15,14,10,Summer_Solstice,14708.730000000003,0.6856912,1613.703423728657
waffle,-45,15,14,10,Autumn_Equinox,10209.170000000002,0.7105664,1160.6869102422718
waffle,-45,15,14,10,Winter_Solstice,11632.010000000002,0.6684443,1244.0560801919942
waffle,-45,15,14,12,Spring_Equinox,6731.350000000001,0.6337251,682.5320795350077
waffle,-45,15,14,12,Summer_Solstice,13650.070000000003,0.6858995,1498.0121815097814
waffle,-45,15,14,12,Autumn_Equinox,10003.680000000002,0.70654595,1130.8895326263432
waffle,-45,15,14,12,Winter_Solstice,10973.750000000002,0.6640299,1165.903691852093
waffle,-45,15,14,14,Spring_Equinox,11805.670000000002,0.6207963,1172.6266439130784
waffle,-45,15,14,14,Summer_Solstice,13256.490000000003,0.6883611,1460.0403437773712
waffle,-45,15,14,14,Autumn_Equinox,10204.150000000001,0.71232367,1162.9852052040103
waffle,-45,15,14,14,Winter_Solstice,10686.740000000002,0.67005783,1145.7174157304767
waffle,-45,15,14,16,Spring_Equinox,8524.100000000002,0.62630004,854.183063136101
waffle,-45,15,14,16,Summer_Solstice,12423.170000000002,0.6878911,1367.3261433282858
waffle,-45,15,14,16,Autumn_Equinox,9583.880000000001,0.7079797,1085.6307659210208
waffle,-45,15,14,16,Winter_Solstice,10121.630000000003,0.66682416,1079.8955908621792
waffle,-45,30,14,8,Spring_Equinox,1074.64,0.6574994,113.05202018508913
waffle,-45,30,14,8,Summer_Solstice,6153.6500000000015,0.6752286,664.8192717018129
waffle,-45,30,14,8,Autumn_Equinox,2933.1000000000004,0.6960741,326.6648040447236
waffle,-45,30,14,8,Winter_Solstice,5730.760000000001,0.6512608,597.1550885265352
waffle,-45,30,14,10,Spring_Equinox,1151.3600000000001,0.6790159,125.0866748291016
waffle,-45,30,14,10,Summer_Solstice,5970.120000000001,0.67557245,645.3197799396517
waffle,-45,30,14,10,Autumn_Equinox,3029.7900000000004,0.70306087,340.82028470191966
waffle,-45,30,14,10,Winter_Solstice,5634.170000000001,0.657069,592.3261763585092
waffle,-45,30,14,12,Spring_Equinox,1300.0700000000002,0.651209,135.45876486949925
waffle,-45,30,14,12,Summer_Solstice,6130.800000000001,0.6766173,663.7128787422182
waffle,-45,30,14,12,Autumn_Equinox,3172.8100000000004,0.69824284,354.4627000285149
waffle,-45,30,14,12,Winter_Solstice,6137.450000000002,0.65072113,639.0029465966227
waffle,-45,30,14,14,Spring_Equinox,1554.6100000000004,0.6707255,166.83465720434197
waffle,-45,30,14,14,Summer_Solstice,6056.090000000001,0.6782181,657.1760019977572
waffle,-45,30,14,14,Autumn_Equinox,3216.3200000000006,0.7036292,362.09546474914566
waffle,-45,30,14,14,Winter_Solstice,5674.5700000000015,0.6605342,599.719611618519
waffle,-45,30,14,16,Spring_Equinox,1148.5200000000002,0.6591832,121.1336149852753
waffle,-45,30,14,16,Summer_Solstice,6267.380000000001,0.6731775,675.0494526359561
waffle,-45,30,14,16,Autumn_Equinox,3145.0100000000007,0.69916296,351.8199201591493
waffle,-45,30,14,16,Winter_Solstice,5554.730000000001,0.6552053,582.3181741173747
waffle,-45,45,14,8,Spring_Equinox,750.0900000000001,0.66842556,80.22069252777102
waffle,-45,45,14,8,Summer_Solstice,424.8300000000001,0.7061011,47.99567017679216
waffle,-45,45,14,8,Autumn_Equinox,885.2400000000001,0.7213705,102.17376600608827
waffle,-45,45,14,8,Winter_Solstice,922.1900000000002,0.6943982,102.45873576269153
waffle,-45,45,14,10,Spring_Equinox,903.7100000000002,0.68638444,99.24679708671573
waffle,-45,45,14,10,Summer_Solstice,871.8100000000002,0.68405294,95.41827156295778
waffle,-45,45,14,10,Autumn_Equinox,840.0600000000002,0.72165215,96.99697684135441
waffle,-45,45,14,10,Winter_Solstice,1160.2200000000003,0.7069927,131.2427286260605
waffle,-45,45,14,12,Spring_Equinox,693.9600000000002,0.67412215,74.85020967750552
waffle,-45,45,14,12,Summer_Solstice,2255.3800000000006,0.6384168,230.37960682544718
waffle,-45,45,14,12,Autumn_Equinox,1167.5200000000002,0.71093243,132.80445358123782
waffle,-45,45,14,12,Winter_Solstice,1112.8000000000002,0.6926166,123.31899717712405
waffle,-45,45,14,14,Spring_Equinox,1189.1900000000003,0.68301404,129.95735368785864
waffle,-45,45,14,14,Summer_Solstice,737.5900000000001,0.69454616,81.9664487084389
waffle,-45,45,14,14,Autumn_Equinox,1028.5700000000002,0.72037953,118.55372393522265
waffle,-45,45,14,14,Winter_Solstice,1349.8100000000002,0.7059857,152.47145461797717
waffle,-45,45,14,16,Spring_Equinox,862.0400000000002,0.67176133,92.6536224498749
waffle,-45,45,14,16,Summer_Solstice,634.2800000000001,0.68427205,69.44321222686769
waffle,-45,45,14,16,Autumn_Equinox,1000.8000000000002,0.71864295,115.07485830688479
waffle,-45,45,14,16,Winter_Solstice,1253.3400000000001,0.69235957,138.84191029014593
waffle,-45,15,18,8,Spring_Equinox,4743.830000000001,0.6431858,488.18625069246303
waffle,-45,15,18,8,Summer_Solstice,15905.290000000003,0.68284804,1737.743366897679
waffle,-45,15,18,8,Autumn_Equinox,10292.890000000001,0.70410144,1159.5581927412036
waffle,-45,15,18,8,Winter_Solstice,12708.240000000002,0.66225946,1346.5843445663456
waffle,-45,15,18,10,Spring_Equinox,9433.300000000001,0.63472617,958.0099757709504
waffle,-45,15,18,10,Summer_Solstice,15390.970000000003,0.68545353,1687.967164821053
waffle,-45,15,18,10,Autumn_Equinox,10838.670000000002,0.71278405,1236.1009791606907
waffle,-45,15,18,10,Winter_Solstice,12247.180000000002,0.6716216,1316.0753408086782
waffle,-45,15,18,12,Spring_Equinox,6989.730000000001,0.6345408,709.6430143970492
waffle,-45,15,18,12,Summer_Solstice,14612.970000000003,0.6856936,1603.2032515439992
waffle,-45,15,18,12,Autumn_Equinox,10376.000000000002,0.7053868,1171.0549788665774
waffle,-45,15,18,12,Winter_Solstice,11959.440000000002,0.6648691,1272.2339942390445
waffle,-45,15,18,14,Spring_Equinox,9169.760000000002,0.6285258,922.1489089096073
waffle,-45,15,18,14,Summer_Solstice,14177.930000000002,0.6849845,1553.8659784764295
waffle,-45,15,18,14,Autumn_Equinox,10176.460000000003,0.70727074,1151.601985546494
waffle,-45,15,18,14,Winter_Solstice,11452.700000000003,0.66621923,1220.8014442520146
waffle,-45,15,18,16,Spring_Equinox,5266.140000000001,0.6502985,547.9300508090976
waffle,-45,15,18,16,Summer_Solstice,14040.750000000002,0.68629503,1541.7755164146429
waffle,-45,15,18,16,Autumn_Equinox,10570.410000000002,0.71073073,1202.034437027264
waffle,-45,15,18,16,Winter_Solstice,11261.100000000002,0.66902435,1205.432014108658
waffle,-45,30,18,8,Spring_Equinox,997.7400000000002,0.6573967,104.9457532276154
waffle,-45,30,18,8,Summer_Solstice,6341.130000000001,0.67378217,683.6064528805734
waffle,-45,30,18,8,Autumn_Equinox,3098.7000000000007,0.69597465,345.058662680626
waffle,-45,30,18,8,Winter_Solstice,5848.980000000001,0.65141934,609.622192067528
waffle,-45,30,18,10,Spring_Equinox,1062.8000000000002,0.6957963,118.31877107620242
waffle,-45,30,18,10,Summer_Solstice,6356.3600000000015,0.675832,687.3330117458346
waffle,-45,30,18,10,Autumn_Equinox,3332.080000000001,0.70276326,374.66614422683733
waffle,-45,30,18,10,Winter_Solstice,5750.750000000001,0.6622561,609.3551026391984
waffle,-45,30,18,12,Spring_Equinox,1099.1800000000003,0.66280127,116.56606324005132
waffle,-45,30,18,12,Summer_Solstice,6265.560000000001,0.6766166,678.301113806534
waffle,-45,30,18,12,Autumn_Equinox,3242.3200000000006,0.6964104,361.27766800842295
waffle,-45,30,18,12,Winter_Solstice,6217.530000000002,0.6524965,649.1066668009761
waffle,-45,30,18,14,Spring_Equinox,1042.8200000000002,0.66909146,111.6387135261536
waffle,-45,30,18,14,Summer_Solstice,6246.9000000000015,0.6762642,675.9287993803026
waffle,-45,30,18,14,Autumn_Equinox,3140.8200000000006,0.6960076,349.76553914451614
waffle,-45,30,18,14,Winter_Solstice,6026.6500000000015,0.65321726,629.8738842062953
waffle,-45,30,18,16,Spring_Equinox,931.6900000000002,0.68854755,102.64205894079213
waffle,-45,30,18,16,Summer_Solstice,5993.550000000001,0.6755556,647.8361899766924
waffle,-45,30,18,16,Autumn_Equinox,3095.140000000001,0.6984992,345.9124515731813
waffle,-45,30,18,16,Winter_Solstice,5924.6100000000015,0.65545887,621.3341058039667
waffle,-45,45,18,8,Spring_Equinox,644.2800000000001,0.67276055,69.35138635368348
waffle,-45,45,18,8,Summer_Solstice,515.1800000000001,0.6843234,56.40795423870088
waffle,-45,45,18,8,Autumn_Equinox,859.9400000000002,0.7201459,99.08515984935764
waffle,-45,45,18,8,Winter_Solstice,999.8200000000002,0.6951846,111.2095128330231
waffle,-45,45,18,10,Spring_Equinox,818.0700000000002,0.69914776,91.51228939733507
waffle,-45,45,18,10,Summer_Solstice,830.3700000000001,0.6908354,91.78384074354175
waffle,-45,45,18,10,Autumn_Equinox,944.0700000000002,0.71448255,107.92344593009953
waffle,-45,45,18,10,Winter_Solstice,1311.7800000000002,0.7089645,148.80087788372043
waffle,-45,45,18,12,Spring_Equinox,505.86000000000007,0.69380784,56.155141458892835
waffle,-45,45,18,12,Summer_Solstice,612.6100000000001,0.6815178,66.80073713598254
waffle,-45,45,18,12,Autumn_Equinox,1002.1300000000002,0.71729666,115.01192029314043
waffle,-45,45,18,12,Winter_Solstice,1164.4000000000003,0.6944068,129.3707658500672
waffle,-45,45,18,14,Spring_Equinox,467.1300000000001,0.6963628,52.04671227235796
waffle,-45,45,18,14,Summer_Solstice,2717.1500000000005,0.6294954,273.66934048652655
waffle,-45,45,18,14,Autumn_Equinox,962.5300000000002,0.71858054,110.66485296182634
waffle,-45,45,18,14,Winter_Solstice,1102.0500000000002,0.6936209,122.30478961372378
waffle,-45,45,18,16,Spring_Equinox,733.7300000000001,0.69610584,81.72059782161715
waffle,-45,45,18,16,Summer_Solstice,653.3700000000001,0.6901234,72.14494596605303
waffle,-45,45,18,16,Autumn_Equinox,820.1500000000002,0.7157131,93.91873370122913
waffle,-45,45,18,16,Winter_Solstice,1198.8000000000002,0.70138496,134.5312467155457
